¿œ Û,÷©÷Î,“∞÷Ì,…ﬂ,Ú˘Ú,¿«,–‹,ˆ˘”„,¿œª¢,¥ÛœÛ,◊‹ ˝,¬Ã÷ﬁ¿‡–Õ,(x:y):id,æ‡¿Î
,,37,,,44,25,,,,106,3,[30:-41]:353672,8.602325
21,16,7,,,,,,,,44,5,[30:-44]:356075,11.180340
47,,,29,,,24,,12,,112,11,[30:-39]:352070,7.071068
,,31,,,29,18,,,,78,3,[26:-38]:351265,9.848858
,,50,,,46,25,,,,121,1,[30:-42]:354473,9.433981
,,25,,,25,17,,,,67,2,[37:-40]:352878,6.324555
,,44,,,35,25,,,,104,2,[34:-44]:356079,10.049876
53,31,17,,,,,,,,101,4,[34:-39]:352074,5.099020
45,,,31,,,,31,14,,121,12,[38:-42]:354481,8.544004
53,24,,,16,,,,,,93,9,[26:-31]:345658,9.486833
56,,,37,,,,33,15,,141,12,[28:-37]:350466,7.615773
,,34,,,26,20,,,,80,1,[37:-44]:356082,10.198039
,,23,,,23,11,,,,57,1,[28:-32]:346461,7.280110
48,,,28,,,,18,13,,107,12,[36:-43]:355280,9.055385
64,,,46,,,39,,19,,168,11,[27:-26]:341654,11.313708
,,36,,,38,20,,,,94,3,[27:-30]:344858,8.944272
57,32,,,29,,,,,,118,7,[31:-33]:347265,4.123106
17,8,,,11,,,,,,36,7,[33:-24]:340058,10.198039
24,,,13,,,6,,7,,50,10,[29:-27]:342457,9.219544
44,22,,,21,,,,,,87,7,[31:-28]:343260,7.211103
44,31,15,,,,,,,,90,5,[40:-31]:345672,5.830952
64,30,,,32,,,,,,126,9,[41:-36]:349678,6.324555
29,,,24,,,16,,15,,84,11,[42:-34]:348077,7.000000
41,,,29,,,,22,16,,108,12,[32:-34]:348067,3.000000
,,18,,,14,8,,,,40,1,[39:-33]:347273,4.123106
54,25,,,20,,,,,,99,7,[33:-32]:346466,2.828427
98,47,,,40,,,,,,185,9,[34:-36]:349671,2.236068
16,12,6,,,,,,,,34,4,[36:-35]:348872,1.414214
,,39,,,39,24,,,,102,2,[32:-33]:347266,3.162278
,,48,,,43,27,,,,118,2,[37:-35]:348873,2.236068
63,,,50,,,,32,16,,161,12,[37:-31]:345669,3.605551
,,34,,,25,19,,,,78,1,[43:-33]:347277,8.062258
40,,,38,,,16,,13,,107,11,[39:-27]:342467,8.062258
,,64,,,48,30,,,,142,2,[39:-29]:344069,6.403124
,,24,,,21,13,,,,58,2,[34:-32]:346467,2.236068
72,30,,,33,,,,,,135,8,[42:-28]:343271,9.219544
55,27,,,22,,,,,,104,7,[39:-26]:341666,8.944272
46,34,18,,,,,,,,98,4,[45:-30]:344876,10.770330
,,24,,,19,14,,,,57,3,[42:-43]:355286,11.401754
29,,,32,,,9,,10,,80,11,[43:-40]:352884,10.000000
35,,,23,,,,20,12,,90,12,[43:-38]:351282,8.944272
,,23,,,18,10,,,,51,1,[44:-44]:356089,13.453624
,,28,,,31,17,,,,76,2,[44:-43]:355288,12.727922
45,29,14,,,,,,,,88,6,[44:-38]:351283,9.848858
28,21,10,,,32,,,,,91,4,[38:-34]:348073,3.000000
,,31,,,24,19,,,,74,2,[38:-35]:348874,3.162278
72,51,27,,,,,,,,150,4,[45:-44]:356090,14.142136
64,46,23,,,,,,,,133,5,[43:-43]:355287,12.041595
