·¥Ä¾³¡,Äà¿Ó,Ìú¿ó³¡,Å©³¡,(x:y):id,¾àÀë
4,4,4,6,[25:-34]:348060,10.000000
4,5,3,6,[25:-36]:349662,10.198039
4,5,3,6,[25:-37]:350463,10.440307
4,5,3,6,[25:-33]:347259,10.049876
4,5,3,6,[25:-32]:346458,10.198039
4,5,3,6,[25:-31]:345657,10.440307
4,4,4,6,[26:-35]:348862,9.055385
3,4,5,6,[26:-37]:350464,9.486833
5,3,4,6,[26:-32]:346459,9.219544
4,4,4,6,[27:-37]:350465,8.544004
4,4,4,6,[26:-33]:347260,9.055385
5,3,4,6,[28:-35]:348864,7.071068
4,5,3,6,[28:-34]:348063,7.000000
4,4,4,6,[29:-36]:349666,6.324555
4,5,3,6,[30:-33]:347264,5.099020
4,5,3,6,[27:-32]:346460,8.246211
5,3,4,6,[31:-35]:348867,4.123106
1,1,1,15,[30:-32]:346463,5.385165
4,5,3,6,[31:-32]:346464,4.472136
4,5,3,6,[29:-31]:345661,6.708204
4,4,4,6,[28:-33]:347262,7.071068
4,5,3,6,[25:-44]:356070,14.142136
4,5,3,6,[25:-43]:355269,13.453624
4,5,3,6,[31:-31]:345663,5.000000
4,5,3,6,[25:-39]:352065,11.180340
4,5,3,6,[30:-37]:350468,5.830952
3,4,5,6,[30:-31]:345662,5.830952
5,3,4,6,[25:-38]:351264,10.770330
4,4,4,6,[25:-42]:354468,12.806248
3,4,5,6,[31:-37]:350469,5.000000
4,4,4,6,[26:-44]:356071,13.453624
4,5,3,6,[26:-43]:355270,12.727922
5,3,4,6,[26:-39]:352066,10.295630
4,4,4,6,[25:-40]:352866,11.661904
5,3,4,6,[26:-41]:353668,11.401754
3,4,5,6,[26:-40]:352867,10.816654
3,4,5,6,[27:-44]:356072,12.806248
3,3,3,9,[27:-42]:354470,11.313708
4,5,3,6,[28:-31]:345660,7.615773
4,5,3,6,[29:-32]:346462,6.324555
3,4,5,6,[28:-43]:355272,11.401754
4,4,4,6,[28:-41]:353670,9.899495
4,5,3,6,[28:-42]:354471,10.630146
5,3,4,6,[28:-39]:352068,8.602325
3,4,5,6,[25:-35]:348861,10.049876
4,4,4,6,[27:-43]:355271,12.041595
4,4,4,6,[29:-43]:355273,10.816654
4,4,4,6,[29:-42]:354472,10.000000
3,4,5,6,[27:-41]:353669,10.630146
3,4,5,6,[27:-36]:349664,8.246211
