村庄,玩家,种族,联盟,居民,(x:y):id,距离
摩天轮[#0],海顿圣骑士,高卢人,,42,[29:-35]:348865,6.082763
冥枪主城,冥零,日尔曼人,,4,[27:-35]:348863,8.062258
gyjdztwen的村庄,gyjdztwen,罗马人,,3,[27:-31]:345659,8.544004
2542542,飞翔,罗马人,,297,[29:-37]:350467,6.708204
轻舞飞扬,冰轻飞舞,高卢人,,30,[29:-33]:347263,6.082763
温柔乡12,百隆门88,日尔曼人,,69,[26:-34]:348061,9.000000
血麒麟的村庄,上帝的眼泪,罗马人,魔域东南独立团,55,[26:-42]:354469,12.041595
天方夜谭,天堂使者,罗马人,魔域东南独立团,12,[30:-32]:346463,5.385165
独孤求胜~~,大大人物_1314,罗马人,,82,[29:-41]:353671,9.219544
魔域メ东方☆国度,VIP叶知秋,罗马人,,246,[30:-43]:355274,10.295630
天空之城,fletime,罗马人,,9,[30:-40]:352871,7.810250
红胡子的村庄,红胡子,日尔曼人,,184,[36:-42]:354479,8.062258
逍遥王骏哥[#0],逍遥王骏哥,罗马人,,222,[39:-43]:355283,9.848858
魔域→图腾部落,原始图腾,罗马人,魔域东南独立团,320,[44:-39]:352084,10.295630
疯狂村,疯狂,罗马人,,252,[33:-37]:350471,3.605551
开小灶,灶君,罗马人,魔域东南独立团,118,[33:-33]:347267,2.236068
aaawcwct,aaawcwct,罗马人,,21,[34:-34]:348069,1.000000
魔域-幻想国都,天堂使者,罗马人,魔域东南独立团,332,[32:-31]:345664,4.242641
龍舌驕子的村庄,骄子,日尔曼人,,61,[36:-33]:347270,1.414214
大双会,大双会,罗马人,,151,[37:-36]:349674,2.828427
灶王庄,灶君,罗马人,魔域东南独立团,484,[35:-34]:348070,0.000000
白石州,海边,罗马人,魔域东南独立团,428,[40:-36]:349677,5.385165
魔域布拉格之都,贝克汉父,罗马人,魔域东南总盟,376,[36:-37]:350474,3.162278
高新公寓,海边,罗马人,魔域东南独立团,61,[44:-35]:348880,9.055385
鸟巢,神气猪,罗马人,,97,[44:-33]:347278,9.055385
大冲村,海边,罗马人,魔域东南独立团,310,[44:-37]:350482,9.486833
hisi的村庄,hisi,日尔曼人,,4,[25:-26]:341652,12.806248
科技园,海边,罗马人,魔域东南独立团,244,[44:-36]:349681,9.219544
小飞机,小小发发,日尔曼人,,64,[29:-28]:343258,8.485281
♂星空♂的村庄,♂星星♂,高卢人,,135,[31:-27]:342459,8.062258
凌云阁,凌云阁,罗马人,,238,[27:-25]:340853,12.041595
清风之城,小胖子,罗马人,魔域东南独立团,366,[35:-27]:342463,7.000000
魔域—MHQ(1),MHQ,高卢人,魔域东南总盟,65,[39:-28]:343268,7.211103
魔域*星源,一亩三分地,罗马人,,313,[40:-29]:344070,7.071068
独牙寨主的村庄,独牙寨主,罗马人,,28,[40:-28]:343269,7.810250
魔域—缘起,MHQ,高卢人,魔域东南总盟,448,[37:-27]:342465,7.280110
水立方,4427000,罗马人,,63,[39:-30]:344870,5.656854
魔域*星际,一亩三分地,罗马人,,59,[40:-30]:344871,6.403124
轩辕帝国,轩辕飘雪,罗马人,,54,[41:-27]:342469,9.219544
中华人民共和国的村庄,只爱双飞,罗马人,,176,[41:-24]:340066,11.661904
小宝,小宝,日尔曼人,魔域帝国主盟,480,[44:-27]:342472,11.401754
王者之城,小宝,日尔曼人,魔域帝国主盟,99,[36:-30]:344867,4.123106
魔域快乐的家,土豆,罗马人,魔域东南新二团,174,[45:-26]:341672,12.806248
4894654 9的村庄,4894654 9,高卢人,,2,[37:-24]:340062,10.198039
