村庄,玩家,种族,联盟,居民,(x:y):id,距离
十三之家,々小武々,罗马人,,118,[19:-20]:336840,21.260292
古罗马,罗马帝国,罗马人,,142,[19:-21]:337641,20.615528
枫茗轩,指尖旋律,罗马人,雪狼,70,[23:-17]:334441,20.808652
星际狼穴,兵临城下,高卢人,,355,[24:-23]:339248,15.556349
村庄1,棘爪,日尔曼人,魔域东南独立团,177,[34:-19]:336054,15.033296
主村,棘爪,日尔曼人,魔域东南独立团,440,[34:-18]:335253,16.031220
天之痕,为谁停留,罗马人,,198,[35:-20]:336856,14.000000
魔域－兰色月光,刀锋战士,罗马人,魔域东南新二团,340,[36:-22]:338459,12.041595
251732127的村庄,251732127,罗马人,,2,[34:-22]:338457,12.041595
射日,射日,罗马人,,77,[25:-21]:337647,16.401219
宜都,lulu,日尔曼人,,192,[38:-23]:339262,11.401754
特洛伊,isaac,罗马人,【N.T】射手座,200,[32:-18]:335251,16.278821
守护神,嘟嘟熊,罗马人,魔域东南独立团,380,[28:-17]:334446,18.384776
薇子,薇子,高卢人,,102,[28:-22]:338451,13.892444
快乐天地,璐璐,罗马人,,31,[28:-21]:337650,14.764823
光之村,渊源,罗马人,,31,[25:-17]:334443,19.723083
我的村庄,无政府,罗马人,,93,[26:-20]:336847,16.643317
失落之村,游戏王,高卢人,,86,[25:-20]:336846,17.204651
雅典娜,嘟嘟熊,罗马人,魔域东南独立团,92,[28:-18]:335247,17.464249
蓝水之家,叶平,罗马人,魔域东南新二团,300,[31:-23]:339255,11.704700
静静爱浩浩,浩浩爱静静,日尔曼人,魔域东南独立团,200,[27:-17]:334445,18.788294
孤独,孤独,罗马人,,156,[31:-17]:334449,17.464249
魔域学校小小的村庄,dqa2,高卢人,,161,[39:-22]:338462,12.649111
冬藏,农民战争,高卢人,,307,[39:-17]:334457,17.464249
silVerm0oN,Mirana,高卢人,,102,[31:-19]:336051,15.524175
魔域＊星星之城,长空,罗马人,魔域东南新二团,278,[42:-23]:339266,13.038405
飛鸿山莊,杨睿,日尔曼人,魔域东南总盟,404,[42:-18]:335261,17.464249
魔域桃源,杨睿,日尔曼人,魔域东南总盟,17,[42:-17]:334460,18.384776
圣殿,michael,日尔曼人,,33,[41:-18]:335260,17.088007
强盗村庄,无聊的玩,罗马人,,216,[30:-20]:336851,14.866069
无［聊］的村庄,无［聊］,罗马人,,5,[45:-18]:335264,18.867962
空中花园,落枫潇潇,罗马人,魔域东南独立团,383,[44:-20]:336865,16.643317
凌宵城,剑三尺,高卢人,,239,[29:-21]:337651,14.317821
