¿œ Û,÷©÷Î,“∞÷Ì,…ﬂ,Ú˘Ú,¿«,–‹,ˆ˘”„,¿œª¢,¥ÛœÛ,◊‹ ˝,¬Ã÷ﬁ¿‡–Õ,(x:y):id,æ‡¿Î
,,38,,,38,17,,,,93,1,[28:-32]:346461,7.280110
69,,,49,,,,40,18,,176,12,[28:-37]:350466,7.615773
84,41,,,34,,,,,,159,9,[26:-31]:345658,9.486833
,,35,,,33,21,,,,89,3,[26:-38]:351265,9.848858
62,,,36,,,31,,16,,145,11,[30:-39]:352070,7.071068
66,37,,,33,,,,,,136,7,[31:-33]:347265,4.123106
,,64,,,68,40,,,,172,3,[30:-41]:353672,8.602325
,,59,,,47,31,,,,137,2,[34:-44]:356079,10.049876
,,60,,,52,31,,,,143,1,[30:-42]:354473,9.433981
61,35,20,,,,,,,,116,4,[34:-39]:352074,5.099020
77,,,43,,,,26,22,,168,12,[36:-43]:355280,9.055385
29,21,10,,,,,,,,60,5,[30:-44]:356075,11.180340
45,,,31,,,,31,14,,121,12,[38:-42]:354481,8.544004
,,34,,,33,22,,,,89,2,[37:-40]:352878,6.324555
,,51,,,42,28,,,,121,1,[37:-44]:356082,10.198039
29,,,32,,,9,,10,,80,11,[43:-40]:352884,10.000000
,,28,,,23,12,,,,63,1,[44:-44]:356089,13.453624
35,,,23,,,,20,12,,90,12,[43:-38]:351282,8.944272
,,34,,,29,20,,,,83,3,[42:-43]:355286,11.401754
68,42,22,,,,,,,,132,6,[44:-38]:351283,9.848858
72,51,27,,,,,,,,150,4,[45:-44]:356090,14.142136
78,33,,,30,,,,,,141,7,[33:-32]:346466,2.828427
98,47,,,40,,,,,,185,9,[34:-36]:349671,2.236068
,,37,,,40,23,,,,100,2,[44:-43]:355288,12.727922
,,29,,,24,16,,,,69,2,[34:-32]:346467,2.236068
41,,,29,,,,22,16,,108,12,[32:-34]:348067,3.000000
52,39,18,,,,,,,,109,4,[36:-35]:348872,1.414214
,,48,,,43,27,,,,118,2,[37:-35]:348873,2.236068
63,,,50,,,,32,16,,161,12,[37:-31]:345669,3.605551
,,,,,,,,,,0,4,[38:-34]:348073,3.000000
,,43,,,36,28,,,,107,2,[38:-35]:348874,3.162278
77,55,27,,,,,,,,159,5,[43:-43]:355287,12.041595
,,39,,,39,24,,,,102,2,[32:-33]:347266,3.162278
51,36,17,,,,,,,,104,5,[40:-31]:345672,5.830952
64,30,,,32,,,,,,126,9,[41:-36]:349678,6.324555
45,,,38,,,21,,20,,124,11,[42:-34]:348077,7.000000
,,23,,,17,11,,,,51,1,[39:-33]:347273,4.123106
,,34,,,25,19,,,,78,1,[43:-33]:347277,8.062258
69,,,52,,,42,,22,,185,11,[27:-26]:341654,11.313708
,,44,,,46,24,,,,114,3,[27:-30]:344858,8.944272
31,,,20,,,9,,9,,69,10,[29:-27]:342457,9.219544
44,22,,,21,,,,,,87,7,[31:-28]:343260,7.211103
55,27,,,22,,,,,,104,7,[39:-26]:341666,8.944272
,,64,,,48,30,,,,142,2,[39:-29]:344069,6.403124
37,20,,,23,,,,,,80,7,[33:-24]:340058,10.198039
72,30,,,33,,,,,,135,8,[42:-28]:343271,9.219544
40,,,38,,,16,,13,,107,11,[39:-27]:342467,8.062258
52,38,21,,,,,,,,111,4,[45:-30]:344876,10.770330
