村庄,玩家,种族,联盟,居民,(x:y):id,距离
银月城,lex,罗马人,,30,[25:-26]:341652,12.806248
凌云阁,凌云阁,罗马人,,261,[27:-25]:340853,12.041595
小飞机,小小发发,日尔曼人,,64,[29:-28]:343258,8.485281
♂星空♂的村庄,♂星星♂,高卢人,,147,[31:-27]:342459,8.062258
魔域威尼斯水都,贝克汉父,罗马人,魔域东南总盟,58,[34:-41]:353676,7.071068
红胡子的村庄,红胡子,日尔曼人,,184,[36:-42]:354479,8.062258
冥枪主城,冥零,日尔曼人,,4,[27:-35]:348863,8.062258
天方夜谭,天堂使者,罗马人,魔域东南独立团,23,[30:-32]:346463,5.385165
revenger,Caesar,罗马人,,17,[27:-31]:345659,8.544004
喋哎呀,采花哥哥,罗马人,魔域东南新二团,6,[31:-34]:348066,4.000000
2542542,飞翔,罗马人,,303,[29:-37]:350467,6.708204
aaawcwct,aaawcwct,罗马人,,21,[34:-34]:348069,1.000000
灶王庄,灶君,罗马人,魔域东南独立团,549,[35:-34]:348070,0.000000
魔域布拉格之都,贝克汉父,罗马人,魔域东南总盟,446,[36:-37]:350474,3.162278
龍舌驕子的村庄,骄子,日尔曼人,,61,[36:-33]:347270,1.414214
大双会,大双会,罗马人,,165,[37:-36]:349674,2.828427
疯狂村,疯狂,罗马人,,252,[33:-37]:350471,3.605551
战神2008的村庄,战神2008,日尔曼人,,3,[30:-40]:352871,7.810250
血麒麟的村庄,上帝的眼泪,罗马人,魔域东南独立团,94,[26:-42]:354469,12.041595
清风之城,小胖子,罗马人,魔域东南独立团,394,[35:-27]:342463,7.000000
独孤求胜~~,大大人物_1314,罗马人,,102,[29:-41]:353671,9.219544
开小灶,灶君,罗马人,魔域东南独立团,187,[33:-33]:347267,2.236068
魔域メ东方☆国度,VIP叶知秋,罗马人,,246,[30:-43]:355274,10.295630
魔域—缘起,MHQ,高卢人,魔域东南总盟,516,[37:-27]:342465,7.280110
找人的村庄,找人,罗马人,,2,[37:-24]:340062,10.198039
逍遥王骏哥[#0],逍遥王骏哥,罗马人,,225,[39:-43]:355283,9.848858
王者之城,小宝,日尔曼人,魔域帝国主盟,99,[36:-30]:344867,4.123106
狼图腾,原始图腾,罗马人,魔域东南独立团,134,[44:-41]:353686,11.401754
图腾部落,原始图腾,罗马人,魔域东南独立团,341,[44:-39]:352084,10.295630
水立方,4427000,罗马人,,63,[39:-30]:344870,5.656854
魔域*星际,一亩三分地,罗马人,,59,[40:-30]:344871,6.403124
魔域*星源,一亩三分地,罗马人,,313,[40:-29]:344070,7.071068
中华人民共和国的村庄,只爱双飞,罗马人,,193,[41:-24]:340066,11.661904
魔域—MHQ(1),MHQ,高卢人,魔域东南总盟,131,[39:-28]:343268,7.211103
小宝,小宝,日尔曼人,魔域帝国主盟,480,[44:-27]:342472,11.401754
魔域快乐的家,土豆,罗马人,魔域东南新二团,184,[45:-26]:341672,12.806248
独牙寨主的村庄,独牙寨主,罗马人,,44,[40:-28]:343269,7.810250
轩辕帝国,轩辕飘雪,罗马人,,57,[41:-27]:342469,9.219544
高新公寓,海边,罗马人,魔域东南独立团,264,[44:-35]:348880,9.055385
科技园,海边,罗马人,魔域东南独立团,286,[44:-36]:349681,9.219544
大冲村,海边,罗马人,魔域东南独立团,347,[44:-37]:350482,9.486833
白石州,海边,罗马人,魔域东南独立团,442,[40:-36]:349677,5.385165
魔域-幻想国都,天堂使者,罗马人,魔域东南独立团,356,[32:-31]:345664,4.242641
