村庄,玩家,种族,联盟,居民,(x:y):id,距离
古罗马,罗马帝国,罗马人,,142,[19:-21]:337641,20.615528
十三之家,々小武々,罗马人,,118,[19:-20]:336840,21.260292
星际狼穴,兵临城下,高卢人,,355,[24:-23]:339248,15.556349
魔域学校小小的村庄,dqa2,高卢人,,161,[39:-22]:338462,12.649111
魔域＊星星之城,长空,罗马人,魔域东南新二团,278,[42:-23]:339266,13.038405
圣殿,michael,日尔曼人,,33,[41:-18]:335260,17.088007
飛鸿山莊,杨睿,日尔曼人,魔域东南总盟,400,[42:-18]:335261,17.464249
空中花园,落枫潇潇,罗马人,魔域东南独立团,383,[44:-20]:336865,16.643317
射日,射日,罗马人,,77,[25:-21]:337647,16.401219
中华人民共和国的村庄,只爱双飞,罗马人,,199,[41:-24]:340066,11.661904
失落之村,游戏王,高卢人,,86,[25:-20]:336846,17.204651
我的村庄,无政府,罗马人,,93,[26:-20]:336847,16.643317
薇子,薇子,高卢人,,100,[28:-22]:338451,13.892444
雅典娜,嘟嘟熊,罗马人,魔域东南独立团,90,[28:-18]:335247,17.464249
凌宵城,剑三尺,高卢人,,239,[29:-21]:337651,14.317821
快乐天地,璐璐,罗马人,,31,[28:-21]:337650,14.764823
强盗村庄,无聊的玩,罗马人,,216,[30:-20]:336851,14.866069
silVerm0oN,Mirana,高卢人,,102,[31:-19]:336051,15.524175
蓝水之家,叶平,罗马人,魔域东南新二团,300,[31:-23]:339255,11.704700
251732127的村庄,251732127,罗马人,,2,[34:-22]:338457,12.041595
村庄1,棘爪,日尔曼人,魔域东南独立团,177,[34:-19]:336054,15.033296
主村,棘爪,日尔曼人,魔域东南独立团,440,[34:-18]:335253,16.031220
魔域－兰色月光,刀锋战士,罗马人,魔域东南新二团,340,[36:-22]:338459,12.041595
找人的村庄,找人,罗马人,,2,[37:-24]:340062,10.198039
宜都,lulu,日尔曼人,,192,[38:-23]:339262,11.401754
特洛伊,isaac,罗马人,【N.T】射手座,198,[32:-18]:335251,16.278821
天之痕,为谁停留,罗马人,,198,[35:-20]:336856,14.000000
无［聊］的村庄,无［聊］,罗马人,,5,[45:-18]:335264,18.867962
